id_aluno,ano_referencia,regiao,uf,zona,porte_municipio,populacao_municipio,sexo,idade_meses,renda_per_capita,idh_municipio,taxa_pobreza,beneficiario_bolsa_familia,inse_escola,infraestrutura_escola,professores_formacao_adequada_pct,razao_aluno_professor,taxa_frequencia_creche_pre,meta_estadual_alfabetizacao,municipio_atingiu_meta_anterior,frequencia_escolar_pct,alfabetizado
2466,2024,Sudeste,MG,Urbana,Pequeno,17213,F,97,687.52,0.658,13.88,1,7.15,4.91,45.29,13.14,72.34,62.83,1,90.66,0
2467,2023,Sudeste,SP,Urbana,Pequeno,8128,M,87,1086.64,0.735,37.72,1,4.25,3.07,75.86,18.58,55.76,66.52,1,88.27,1
2468,2022,Sul,SC,Rural,Grande,11277800,F,105,558.95,0.66,26.91,0,4.41,4.24,67.57,18.21,20.71,77.01,1,95.94,0
2469,2023,Nordeste,RN,Urbana,Pequeno,7054,F,91,824.32,0.593,39.18,1,7.38,5.2,65.74,20.74,42.6,65.85,1,83.38,1
2470,2022,Sudeste,SP,Urbana,Pequeno,19631,F,105,736.45,0.726,24.24,1,3.81,8.42,66.28,17.37,82.94,78.18,0,92.74,0
2471,2024,Nordeste,PI,Urbana,Pequeno,5060,F,104,576.59,0.709,36.88,1,5.0,6.58,41.67,23.7,74.73,69.65,1,82.24,0
2472,2024,Sul,PR,Urbana,Pequeno,2289,M,94,1006.61,0.658,31.65,0,1.67,6.43,74.95,21.73,70.98,68.47,1,88.83,0
2473,2024,Nordeste,PI,Rural,Pequeno,13734,F,106,809.01,0.596,45.19,1,5.48,5.37,77.5,14.37,83.33,72.98,1,91.75,0
2474,2022,Nordeste,MA,Urbana,Pequeno,7087,M,93,549.88,0.697,20.59,0,6.12,5.72,51.54,26.38,61.98,68.07,1,100.0,0
2475,2022,Nordeste,PB,Urbana,Médio,130138,F,92,750.81,0.774,22.68,0,7.68,6.83,40.99,21.67,66.03,75.73,1,92.54,1
2476,2024,Nordeste,AL,Urbana,Médio,105565,M,91,993.46,0.593,37.29,0,4.21,6.67,85.69,22.21,42.01,64.98,0,91.52,0
2477,2022,Sudeste,MG,Urbana,Médio,24586,M,85,1205.86,0.677,17.24,0,5.5,4.63,63.64,23.42,58.15,62.75,0,,1
2478,2023,Sudeste,SP,Urbana,Médio,174520,F,106,1343.92,0.662,15.39,1,5.08,5.07,64.06,25.7,54.94,74.01,1,96.7,1
2479,2024,Norte,AP,Rural,Grande,272360,M,85,659.16,0.446,33.75,1,4.4,7.35,77.73,19.53,38.96,72.67,0,72.52,0
2480,2023,Nordeste,RN,Urbana,Pequeno,9327,F,101,684.47,0.69,20.28,0,5.52,5.03,92.15,23.71,34.48,60.65,0,94.13,1
2481,2024,Sudeste,MG,Urbana,Pequeno,11138,M,93,954.47,0.561,7.15,1,5.72,6.97,73.49,16.61,46.0,60.95,1,,1
2482,2024,Nordeste,CE,Urbana,Médio,178571,F,84,832.01,0.765,22.88,0,3.73,7.4,55.02,16.9,61.62,66.58,1,79.41,1
2483,2023,Nordeste,BA,Urbana,Pequeno,13166,F,105,871.29,0.753,42.05,1,4.06,4.47,76.07,26.92,56.73,68.49,1,70.38,1
2484,2023,Sudeste,RJ,Rural,Pequeno,7593,M,98,1231.8,0.622,12.2,0,4.23,5.58,70.04,17.73,57.62,76.4,1,83.82,1
2485,2023,Nordeste,BA,Rural,Pequeno,3611,F,105,862.63,0.623,21.83,0,4.57,6.9,30.69,21.91,77.27,71.38,1,78.94,1
2486,2024,Sudeste,SP,Urbana,Médio,67496,F,90,798.55,0.748,16.41,0,7.01,6.74,76.74,20.66,79.57,65.08,1,93.61,0
2487,2024,Sul,SC,Urbana,Pequeno,13769,M,96,662.51,0.778,35.65,1,4.7,2.49,46.85,24.03,86.33,67.34,0,79.96,0
2488,2022,Norte,AC,Rural,Grande,10050580,M,91,,0.627,16.46,0,5.08,4.78,69.5,21.75,55.86,68.35,1,86.46,1
2489,2023,Norte,RO,Rural,Pequeno,8669,M,101,778.82,0.637,44.63,1,,2.59,59.77,16.02,30.23,70.51,0,99.67,1
2490,2022,Sul,SC,Urbana,Pequeno,10632,M,101,1134.7,0.745,28.55,0,4.26,4.6,68.18,33.67,88.06,68.5,1,91.18,0
2491,2022,Nordeste,AL,Urbana,Médio,141264,F,92,602.75,0.678,22.77,1,7.91,5.43,100.0,19.25,47.21,66.79,1,92.91,0
2492,2023,Sul,RS,Urbana,Pequeno,9256,M,86,1111.28,0.75,16.47,0,6.28,7.92,78.55,28.34,64.6,66.33,1,81.85,1
2493,2023,Centro-Oeste,MS,Rural,Pequeno,5719,M,105,789.09,0.746,18.54,0,5.0,5.57,70.85,19.23,80.91,75.78,1,73.42,1
2494,2023,Sul,SC,Rural,Médio,182800,F,89,1263.01,0.718,17.1,1,5.78,6.02,83.45,18.19,56.9,65.65,1,83.11,0
2495,2024,Nordeste,RN,Rural,Pequeno,18237,F,98,971.9,0.6,28.12,1,,2.71,100.0,18.45,89.09,66.27,0,81.57,1
2496,2023,Sudeste,SP,Rural,Grande,7304866,F,105,1657.72,0.719,22.54,1,2.2,9.72,60.72,17.87,54.73,76.42,1,85.34,0
2497,2022,Sudeste,RJ,Urbana,Médio,69315,F,101,897.5,0.666,18.65,0,6.12,5.85,68.81,26.62,40.96,85.24,0,92.16,1
2498,2023,Nordeste,AL,Urbana,Médio,198579,F,87,772.81,0.708,19.25,0,3.38,6.73,56.38,24.68,49.05,59.98,0,95.76,1
2499,2022,Sul,RS,Urbana,Médio,28817,F,97,1010.71,0.638,24.54,0,4.97,5.0,81.61,27.73,98.34,73.23,0,99.51,0
2500,2023,Sul,PR,Urbana,Pequeno,5264,F,89,,0.724,18.21,0,6.28,7.76,100.0,24.44,61.12,58.46,0,96.16,1
2501,2022,Sudeste,ES,Urbana,Pequeno,16497,M,104,1374.29,0.673,21.78,0,3.82,5.98,68.93,22.38,100.0,61.41,1,84.26,1
2502,2022,Sudeste,RJ,Urbana,Pequeno,3925,F,88,1063.67,0.655,32.87,1,5.55,6.67,82.16,24.24,65.03,66.42,1,76.14,1
2503,2022,Nordeste,PI,Rural,Pequeno,4056,M,93,150.0,0.551,33.49,1,5.53,9.9,69.69,22.22,61.73,62.55,1,100.0,0
2504,2022,Nordeste,PI,Urbana,Grande,10350593,F,97,442.28,0.609,4.78,0,5.53,6.25,68.56,19.09,52.07,66.51,1,83.99,1
2505,2023,Nordeste,SE,Rural,Pequeno,17321,M,104,1227.06,0.617,28.34,1,2.54,5.69,61.87,26.2,51.09,70.76,1,77.83,0
2506,2023,Nordeste,CE,Urbana,Pequeno,3263,M,85,727.69,0.577,48.13,1,4.85,8.3,79.34,24.79,74.54,71.26,1,85.45,0
2507,2024,Nordeste,BA,Urbana,Pequeno,14096,M,88,238.53,0.627,26.46,1,4.88,4.49,70.56,29.93,76.57,58.95,1,99.48,0
2508,2022,Sul,SC,Urbana,Pequeno,9076,M,94,782.77,0.766,12.99,1,5.98,6.77,64.34,22.7,94.03,69.3,0,91.1,0
2509,2022,Norte,AP,Urbana,Grande,4548238,F,85,567.3,0.616,19.48,1,4.65,6.91,64.9,18.94,68.79,58.34,1,98.8,0
2510,2022,Nordeste,CE,Urbana,Pequeno,17727,F,103,634.89,0.579,38.43,0,6.7,3.09,37.75,28.84,5.0,62.42,1,88.49,1
2511,2024,Sudeste,MG,Urbana,Grande,10137967,M,103,1411.47,0.701,31.69,0,5.82,4.46,64.89,35.76,54.58,70.21,0,94.83,0
2512,2022,Sudeste,RJ,Urbana,Médio,105137,M,97,1139.19,0.675,29.17,0,6.81,4.94,53.28,13.97,100.0,76.03,0,94.28,1
2513,2024,Sul,RS,Urbana,Pequeno,17506,M,84,1114.92,0.714,38.47,0,2.18,5.99,95.29,18.25,63.83,71.65,0,81.77,1
2514,2024,Sudeste,MG,Urbana,Pequeno,15678,F,102,843.02,0.737,10.05,0,4.98,6.21,70.94,23.41,91.14,80.52,1,95.6,1
2515,2022,Sul,PR,Urbana,Pequeno,16259,M,103,1205.48,0.777,31.39,0,7.65,5.89,96.99,16.86,22.96,65.37,1,81.54,1
2516,2024,Nordeste,CE,Urbana,Médio,140011,M,96,880.04,0.705,25.45,1,4.43,4.45,56.76,12.72,26.33,72.5,0,81.08,0
2517,2022,Norte,PA,Urbana,Grande,9577665,M,94,798.49,0.599,31.46,0,6.32,5.24,100.0,28.51,57.78,69.56,1,80.18,1
2518,2022,Sudeste,MG,Rural,Pequeno,6402,M,100,1117.12,0.77,9.65,0,6.05,6.11,70.96,20.96,71.22,72.06,1,89.96,0
2519,2023,Sul,SC,Urbana,Grande,9922291,M,102,1375.79,0.742,28.25,1,5.38,7.55,72.68,26.64,44.51,76.44,0,76.43,0
2520,2024,Sudeste,RJ,Urbana,Médio,123579,F,98,1007.35,0.707,20.72,1,5.09,4.26,64.83,21.23,86.75,70.89,0,,1
2521,2024,Norte,RO,Urbana,Médio,186299,F,92,512.18,0.648,31.62,1,3.49,4.57,82.08,20.48,22.45,62.75,0,78.29,0
2522,2023,Sul,PR,Urbana,Médio,175591,M,97,1127.83,0.662,12.74,0,7.11,8.25,56.63,14.57,79.92,81.54,1,99.86,0
2523,2022,Centro-Oeste,GO,Rural,Pequeno,5306,M,100,661.03,0.725,22.35,0,5.01,3.45,88.45,22.23,82.24,75.85,0,75.79,0
2524,2023,Nordeste,SE,Urbana,Pequeno,14764,F,84,1047.48,0.662,45.06,1,8.04,5.93,30.18,22.89,48.67,69.36,1,80.15,0
2525,2022,Nordeste,CE,Urbana,Médio,194757,M,96,150.0,0.676,29.56,0,2.53,7.73,57.87,26.99,53.24,75.8,0,80.08,0
2526,2024,Centro-Oeste,GO,Urbana,Médio,114078,F,99,1031.0,0.592,25.24,0,,6.85,82.5,18.99,83.23,69.95,0,91.45,0
2527,2024,Norte,AP,Urbana,Pequeno,6561,M,88,562.46,0.706,29.69,0,3.54,6.03,58.6,29.67,61.38,63.27,1,83.9,0
2528,2023,Nordeste,RN,Urbana,Pequeno,13074,F,89,1041.93,0.648,22.9,0,6.01,6.83,51.26,32.71,35.48,73.56,1,83.2,0
2529,2022,Sudeste,SP,Urbana,Médio,138486,M,100,879.7,0.662,29.13,1,5.33,3.47,82.93,19.52,69.51,62.28,0,87.36,0
2530,2024,Norte,RO,Urbana,Médio,38299,F,92,,0.657,30.01,0,3.68,4.75,76.51,21.05,45.8,64.04,1,92.43,0
2531,2024,Sudeste,SP,Urbana,Pequeno,18254,F,105,523.08,0.714,14.36,0,4.49,6.78,95.3,24.09,40.77,71.94,0,100.0,1
2532,2023,Sudeste,SP,Rural,Pequeno,17482,F,89,1128.03,0.662,23.48,1,7.07,4.06,77.36,24.56,53.71,78.36,1,75.71,1
2533,2024,Norte,TO,Urbana,Médio,77460,F,86,1182.16,0.603,28.02,0,2.05,4.93,80.68,25.23,45.74,69.32,1,90.54,0
2534,2022,Centro-Oeste,DF,Urbana,Grande,10323634,M,90,1314.96,0.704,18.49,0,4.19,4.92,66.21,26.53,74.25,74.68,1,93.01,1
2535,2023,Sul,SC,Urbana,Pequeno,18138,F,91,1029.29,0.58,40.6,0,4.44,8.2,56.48,22.99,55.42,69.99,1,88.01,0
2536,2024,Nordeste,BA,Urbana,Grande,4041665,F,90,569.97,0.604,35.39,0,3.67,4.18,94.44,20.74,70.47,71.25,1,78.79,0
2537,2022,Centro-Oeste,MT,Urbana,Médio,142511,M,96,1134.03,0.705,31.36,0,6.49,5.61,49.2,12.08,55.2,66.32,1,100.0,0
2538,2022,Sudeste,MG,Urbana,Pequeno,4261,M,92,860.49,0.82,22.51,0,5.44,8.32,73.27,19.49,67.4,75.46,1,91.04,0
2539,2023,Sul,SC,Urbana,Pequeno,14297,F,90,657.45,0.828,28.22,0,5.27,5.65,75.34,18.43,36.34,68.39,1,97.78,1
2540,2023,Nordeste,RN,Rural,Médio,103286,M,95,489.69,0.652,19.99,0,4.2,3.85,84.78,17.38,60.1,61.06,1,81.61,1
2541,2022,Nordeste,PE,Urbana,Pequeno,16919,F,88,1023.05,0.615,34.76,0,3.52,5.03,95.92,17.94,73.35,72.7,1,76.81,0
2542,2024,Centro-Oeste,MS,Urbana,Pequeno,3315,M,92,1254.69,0.684,25.11,1,6.16,4.36,64.04,21.89,44.44,77.23,0,91.47,0
2543,2024,Sudeste,SP,Urbana,Pequeno,19848,F,88,1083.04,0.681,1.0,0,4.27,4.67,55.27,13.56,72.81,83.28,1,88.45,0
2544,2023,Sudeste,MG,Rural,Pequeno,15589,M,94,1044.38,0.682,17.68,1,5.9,8.41,78.01,21.47,75.28,60.91,0,75.55,1
2545,2023,Sudeste,MG,Urbana,Médio,87470,M,98,1056.76,0.733,22.77,0,7.18,8.23,80.03,22.0,78.01,77.8,1,97.57,1
2546,2024,Sul,SC,Urbana,Pequeno,9305,M,91,1235.75,0.665,21.46,0,5.44,3.5,100.0,18.38,54.51,71.66,1,90.35,0
2547,2023,Sul,PR,Urbana,Pequeno,10070,M,94,1116.1,0.708,10.67,0,4.99,6.48,43.45,17.86,54.82,73.75,0,98.94,1
2548,2024,Centro-Oeste,GO,Urbana,Pequeno,9503,F,85,1279.89,0.657,24.88,0,6.36,5.59,61.78,22.15,30.64,72.96,0,83.25,1
2549,2022,Norte,AM,Urbana,Pequeno,8696,M,98,434.2,0.625,21.91,0,3.0,6.59,83.55,27.29,62.68,69.21,0,85.72,0
2550,2024,Sudeste,RJ,Urbana,Médio,152785,M,96,806.78,0.63,24.91,0,3.96,4.48,73.31,21.95,81.33,74.81,0,86.4,1
2551,2022,Nordeste,PB,Urbana,Pequeno,14042,M,102,669.73,0.605,7.84,0,5.64,6.26,72.58,28.3,45.08,62.77,1,76.67,0
2552,2023,Sudeste,MG,Urbana,Médio,111593,M,100,979.47,0.673,9.21,0,6.57,8.26,89.64,23.4,93.24,66.66,1,90.88,0
2553,2024,Sul,PR,Urbana,Pequeno,3742,F,105,1117.49,0.645,19.7,1,7.21,5.18,63.11,25.81,59.31,71.82,0,72.58,1
2554,2024,Sul,RS,Urbana,Grande,1351921,F,102,918.06,0.522,34.79,1,6.33,6.32,72.54,20.68,67.33,74.45,1,79.36,0
2555,2023,Sul,PR,Urbana,Médio,112079,M,97,558.11,0.752,30.13,0,5.32,9.8,84.04,33.46,88.08,77.24,1,89.92,0
2556,2023,Sudeste,RJ,Urbana,Pequeno,15422,M,87,779.67,0.708,19.72,0,4.76,7.03,74.03,25.23,45.85,70.56,1,91.35,1
2557,2022,Centro-Oeste,MS,Urbana,Pequeno,6890,M,96,,0.761,34.06,0,4.26,8.25,76.1,27.59,80.22,71.82,1,73.96,0
2558,2023,Sudeste,MG,Urbana,Pequeno,18986,M,90,1081.79,0.748,24.33,1,5.18,7.08,64.56,20.62,70.74,79.19,1,91.48,1
2559,2024,Centro-Oeste,GO,Rural,Pequeno,14107,F,86,937.54,0.661,37.78,0,5.32,8.32,63.06,20.9,77.62,79.12,0,75.49,1
2560,2024,Sudeste,MG,Urbana,Pequeno,19187,F,96,1059.18,0.752,31.11,0,5.48,6.67,88.74,15.93,64.79,73.5,0,97.81,1
2561,2024,Sul,SC,Urbana,Pequeno,5184,F,97,1197.76,0.736,1.0,0,5.41,6.56,46.86,27.96,69.82,75.13,1,93.25,0
2562,2022,Sudeste,SP,Urbana,Médio,133253,M,87,774.59,0.769,28.8,0,5.77,3.58,78.37,24.53,44.29,71.58,0,100.0,1
2563,2022,Nordeste,BA,Urbana,Pequeno,5885,M,107,1057.69,0.645,27.33,0,6.75,6.26,64.96,24.21,81.11,66.7,0,93.32,0
2564,2022,Nordeste,AL,Urbana,Pequeno,3840,M,95,1183.93,0.611,43.27,0,4.6,5.79,84.55,19.18,64.65,68.31,0,83.91,0
2565,2023,Sul,PR,Urbana,Pequeno,2699,F,92,1069.71,0.633,25.9,1,3.32,4.52,100.0,20.17,58.2,71.08,1,80.02,0
2566,2023,Sudeste,RJ,Urbana,Pequeno,17193,M,92,1242.99,0.709,18.52,1,4.47,5.71,97.71,19.9,56.1,68.19,1,88.86,0
2567,2022,Sul,RS,Urbana,Pequeno,13755,M,97,1002.52,0.681,36.41,0,5.01,5.76,69.56,19.07,48.93,74.24,0,92.44,0
2568,2023,Centro-Oeste,MT,Urbana,Médio,157900,F,94,775.22,0.7,17.68,1,7.61,5.49,67.52,23.42,46.03,67.29,1,80.76,0
2569,2024,Sudeste,RJ,Urbana,Pequeno,15207,M,96,1010.25,0.726,16.15,0,,6.52,48.77,16.94,85.89,78.47,0,83.22,1
2570,2022,Centro-Oeste,DF,Rural,Pequeno,14342,M,96,894.82,0.764,24.82,0,2.25,6.05,53.93,18.19,48.95,74.86,1,93.48,0
2571,2023,Sudeste,RJ,Urbana,Pequeno,16149,M,101,,0.784,4.96,0,4.64,5.03,83.24,18.98,65.96,78.96,1,88.22,1
2572,2023,Sudeste,SP,Urbana,Pequeno,17851,M,104,726.66,0.628,35.61,0,6.9,6.88,84.18,20.25,38.87,64.63,0,87.86,1
2573,2023,Sul,SC,Urbana,Pequeno,17524,M,92,542.35,0.785,13.9,1,6.3,5.18,71.93,24.13,48.95,70.07,0,100.0,0
2574,2024,Sul,SC,Urbana,Médio,67995,F,88,1076.0,0.735,18.3,0,6.89,7.33,87.81,20.07,48.82,68.59,1,83.6,1
2575,2024,Nordeste,CE,Urbana,Pequeno,18754,M,103,988.69,0.595,31.62,1,5.02,5.9,76.48,28.52,60.89,71.16,0,79.34,0
2576,2024,Nordeste,PI,Urbana,Médio,75569,M,104,869.15,0.618,28.03,0,5.38,6.5,65.99,24.34,52.12,66.86,1,81.62,0
2577,2022,Nordeste,RN,Urbana,Grande,5042852,M,103,1421.15,0.669,24.18,0,3.67,4.67,67.9,20.74,79.55,72.91,1,94.11,1
2578,2022,Sudeste,SP,Rural,Médio,163259,F,105,1250.79,0.721,34.14,1,4.43,7.14,73.74,17.45,71.33,68.42,0,72.98,0
2579,2022,Nordeste,PI,Urbana,Médio,168129,F,97,574.48,0.689,27.36,0,4.12,3.97,75.68,24.57,62.91,72.73,1,97.36,0
2580,2022,Nordeste,AL,Rural,Pequeno,10915,M,100,1376.16,0.727,34.09,0,3.41,5.51,43.1,25.19,51.93,68.36,0,84.89,0
2581,2023,Sudeste,MG,Urbana,Pequeno,13395,F,95,932.92,0.678,21.7,0,4.13,5.66,37.88,17.44,58.52,85.28,0,87.62,1
2582,2022,Sudeste,ES,Urbana,Pequeno,9851,M,92,924.48,0.763,24.29,0,6.7,5.32,93.14,13.71,78.36,68.23,1,75.84,0
2583,2023,Sudeste,RJ,Rural,Médio,142682,F,105,836.81,0.68,13.25,0,5.13,5.26,64.14,22.03,45.45,71.28,1,84.96,1
2584,2024,Sul,RS,Urbana,Pequeno,19695,F,107,1195.67,0.681,33.47,1,3.23,3.41,84.92,18.72,61.22,76.72,1,100.0,0
2585,2022,Nordeste,PI,Urbana,Pequeno,13388,M,95,830.75,0.59,29.01,0,6.43,4.93,54.61,21.73,41.43,69.68,0,79.42,0
2586,2023,Centro-Oeste,MS,Urbana,Pequeno,18325,F,87,778.98,0.678,28.39,0,5.52,2.25,92.68,15.0,46.29,60.66,1,100.0,0
2587,2023,Sudeste,ES,Urbana,Pequeno,19465,M,106,1131.93,0.615,15.97,0,6.35,6.73,67.48,20.63,50.92,70.98,1,79.57,0
2588,2022,Norte,AM,Urbana,Pequeno,5626,M,85,1279.74,0.588,40.19,1,2.82,6.53,40.94,21.13,79.49,63.68,1,94.95,0
2589,2024,Sul,RS,Urbana,Pequeno,3629,F,93,825.79,0.75,16.98,0,5.39,7.76,65.08,14.81,49.18,76.94,1,89.49,1
2590,2022,Nordeste,PE,Urbana,Pequeno,4084,M,104,1003.09,0.684,12.41,0,5.48,4.28,64.18,26.24,57.94,70.49,0,86.35,1
2591,2022,Nordeste,RN,Urbana,Grande,7686050,M,84,795.08,0.701,20.09,0,5.38,5.61,73.11,23.68,8.69,63.89,1,81.99,0
2592,2024,Sudeste,SP,Urbana,Médio,46982,F,105,1488.09,0.647,23.19,1,6.41,8.04,60.58,18.62,76.5,70.13,1,97.82,0
2593,2023,Sudeste,RJ,Urbana,Pequeno,12445,F,106,1485.43,0.696,11.63,0,5.51,8.14,66.94,17.44,64.29,69.8,1,79.16,1
2594,2024,Norte,AM,Urbana,Médio,188506,M,91,965.37,0.753,22.25,0,5.3,3.71,72.29,20.43,39.58,66.13,0,86.59,1
2595,2022,Sudeste,ES,Urbana,Pequeno,15761,M,100,1119.96,0.766,13.71,0,6.55,6.61,81.91,20.34,36.19,70.24,0,84.8,1
2596,2024,Nordeste,PB,Urbana,Pequeno,18357,F,90,458.04,0.634,28.58,0,4.08,5.7,81.25,18.83,10.01,74.7,0,82.44,0
2597,2023,Sul,RS,Urbana,Grande,11661372,M,97,789.96,0.733,15.54,0,5.37,4.12,55.44,15.54,80.17,64.96,0,90.78,0
2598,2022,Nordeste,PE,Urbana,Pequeno,18807,F,106,973.97,0.648,13.27,0,5.33,4.66,68.81,22.49,38.34,68.0,1,82.08,0
2599,2022,Sudeste,MG,Urbana,Pequeno,6786,M,90,753.81,0.713,7.87,0,6.1,5.02,100.0,21.47,31.91,75.03,1,94.92,0
2600,2022,Sudeste,ES,Rural,Grande,4008931,M,92,1564.82,0.796,15.77,0,5.65,6.92,57.17,16.82,40.43,69.37,1,91.21,1
2601,2024,Nordeste,PE,Urbana,Pequeno,5174,F,102,872.39,0.617,28.66,0,3.29,4.77,57.98,21.07,23.05,64.85,0,83.6,1
2602,2024,Sudeste,SP,Urbana,Pequeno,13142,F,103,1188.65,0.758,17.62,1,5.58,6.1,55.86,14.6,55.28,73.34,0,93.94,0
2603,2022,Norte,AC,Urbana,Médio,178475,F,104,672.41,0.74,23.06,0,4.28,6.46,68.9,17.37,57.73,79.08,1,88.98,0
2604,2023,Sudeste,MG,Urbana,Pequeno,3458,F,90,1125.06,0.585,11.16,0,4.98,5.99,68.73,20.66,33.69,71.07,1,95.88,1
2605,2024,Sudeste,RJ,Urbana,Pequeno,18761,F,105,1106.21,0.74,22.23,0,5.5,5.89,93.71,28.81,63.59,65.62,1,71.52,0
2606,2022,Norte,AM,Rural,Pequeno,6978,F,96,786.17,0.67,34.16,1,4.55,6.95,63.81,26.53,69.39,75.51,0,84.17,1
2607,2024,Sudeste,SP,Urbana,Pequeno,12291,M,100,1057.7,0.663,13.6,0,3.15,5.34,81.68,20.61,64.72,69.48,1,84.65,1
2608,2024,Nordeste,AL,Urbana,Médio,82175,F,86,846.23,0.69,24.09,1,6.11,2.33,77.85,21.61,62.99,76.82,0,78.07,1
2609,2023,Norte,AC,Urbana,Pequeno,15018,F,105,725.4,0.612,39.6,0,2.92,6.27,73.51,18.1,38.71,64.69,1,68.93,0
2610,2024,Sul,RS,Urbana,Pequeno,6152,F,87,768.75,0.787,17.58,1,4.33,7.3,62.52,27.57,75.26,75.56,1,89.26,0
2611,2022,Nordeste,CE,Urbana,Pequeno,3695,M,100,1081.44,0.659,27.38,0,4.82,7.15,50.93,17.64,33.53,73.61,0,82.65,1
2612,2023,Sudeste,MG,Rural,Pequeno,18423,F,97,856.41,0.573,17.88,0,6.49,6.83,54.58,18.79,100.0,66.94,1,81.18,0
2613,2022,Sudeste,SP,Urbana,Pequeno,19602,M,96,981.51,0.71,17.54,1,4.37,4.99,73.66,22.31,88.11,73.77,0,86.49,0
2614,2022,Sudeste,ES,Urbana,Médio,98036,M,90,976.44,0.736,20.67,1,4.6,9.35,91.1,20.2,76.65,72.59,0,91.0,1
2615,2023,Sudeste,MG,Urbana,Pequeno,9693,F,101,620.38,0.689,10.69,1,5.05,6.85,48.83,20.03,76.85,78.5,0,100.0,0
2616,2024,Sudeste,MG,Rural,Grande,2334757,F,86,931.38,0.687,29.83,0,6.7,6.78,73.32,24.12,69.2,73.45,1,97.06,1
2617,2024,Centro-Oeste,GO,Urbana,Pequeno,18315,M,107,912.57,0.708,21.37,0,4.77,4.92,75.8,18.56,64.98,78.49,0,84.88,0
2618,2024,Sudeste,RJ,Urbana,Pequeno,15470,F,96,1179.44,0.66,20.53,0,3.28,5.03,80.32,23.61,78.33,74.04,0,,1
2619,2024,Nordeste,PE,Urbana,Pequeno,10296,F,94,711.53,0.688,29.45,0,5.91,5.25,59.98,23.16,79.03,67.73,1,84.15,1
2620,2023,Sudeste,SP,Rural,Grande,8785707,F,91,1027.32,0.633,20.49,0,6.24,6.92,69.1,21.98,74.85,71.81,1,85.05,0
2621,2024,Sudeste,ES,Urbana,Pequeno,6598,M,99,1384.27,0.695,13.38,0,7.03,3.28,85.19,22.92,62.4,69.95,1,80.9,1
2622,2023,Sudeste,MG,Rural,Pequeno,4205,F,95,1263.81,0.794,28.83,1,5.46,5.43,77.46,24.62,59.77,71.28,1,90.28,0
2623,2024,Centro-Oeste,GO,Urbana,Grande,254753,M,98,936.74,0.713,33.77,1,,6.53,81.29,12.89,47.75,70.4,1,83.21,1
2624,2024,Sudeste,MG,Urbana,Pequeno,3483,F,100,660.12,0.704,22.12,1,5.05,5.24,95.64,22.14,47.66,73.7,0,88.94,1
2625,2024,Sul,SC,Urbana,Pequeno,4717,M,105,,0.731,29.55,0,5.68,3.36,76.62,28.13,75.4,76.1,1,93.52,1
2626,2023,Sudeste,ES,Rural,Pequeno,11346,F,99,1296.84,0.798,33.07,0,3.88,7.69,92.72,23.07,64.09,68.37,1,91.46,1
2627,2023,Sudeste,MG,Urbana,Médio,58033,F,90,912.5,0.686,27.95,0,4.79,9.66,50.65,18.99,54.07,72.03,1,90.21,0
2628,2023,Norte,AC,Urbana,Pequeno,15692,F,85,,0.61,33.13,1,2.39,4.99,75.05,22.33,35.02,71.53,0,82.29,0
2629,2023,Sudeste,RJ,Urbana,Médio,164680,M,98,1158.22,0.699,26.22,0,7.69,7.2,59.8,26.82,44.41,71.55,1,88.22,0
2630,2023,Nordeste,PI,Urbana,Médio,69580,F,88,754.35,0.626,34.34,1,4.24,7.69,87.66,27.82,33.34,62.31,0,80.94,1
2631,2022,Norte,RO,Urbana,Grande,8819539,F,99,1014.54,0.657,17.48,0,4.87,6.39,36.79,21.5,37.1,67.44,1,98.92,0
2632,2022,Sudeste,SP,Urbana,Médio,186926,M,98,1231.4,0.711,25.57,0,5.59,6.73,70.13,10.7,67.59,72.7,1,91.16,0
2633,2024,Sudeste,MG,Urbana,Médio,33073,M,90,1217.28,0.709,4.55,0,5.51,4.71,51.91,14.65,79.73,76.72,1,99.44,1
2634,2022,Centro-Oeste,MS,Rural,Pequeno,14566,M,107,871.09,0.666,21.18,1,5.33,10.0,72.75,20.18,60.99,66.13,1,100.0,1
2635,2022,Centro-Oeste,MT,Urbana,Médio,155382,M,88,944.95,0.543,28.02,1,5.46,4.79,100.0,17.55,43.09,69.11,1,93.32,0
2636,2022,Sudeste,MG,Urbana,Pequeno,17992,F,92,738.96,0.733,11.01,0,4.16,7.67,73.46,28.11,56.78,70.45,1,76.41,0
2637,2023,Centro-Oeste,MS,Urbana,Pequeno,19685,M,86,931.51,0.724,23.48,1,3.54,4.87,87.29,19.83,47.28,67.44,0,91.48,0
2638,2022,Sudeste,MG,Urbana,Pequeno,6647,M,94,788.71,0.616,14.35,0,6.68,5.72,62.08,23.32,99.58,69.37,1,74.33,0
2639,2023,Nordeste,AL,Urbana,Médio,102801,F,97,788.84,0.693,55.15,0,4.09,5.48,76.59,32.7,53.51,71.27,0,86.69,1
2640,2024,Sudeste,MG,Rural,Médio,165309,F,92,849.15,0.739,27.02,0,5.08,8.84,76.79,17.17,66.66,70.83,1,89.14,1
2641,2024,Norte,AM,Urbana,Médio,125883,F,87,1088.19,0.581,32.48,0,3.49,5.29,52.35,23.1,52.62,75.77,0,83.61,0
