id_aluno,ano,id_municipio,id_uf,rede,caderno,ctx_taxa_municipio,ctx_media_municipio,ctx_meta_municipio,ctx_distancia_meta_municipio,ctx_atingiu_meta_municipio,ctx_participacao_municipio,ctx_categoria_municipio,ctx_faixa_participacao_municipio,proficiencia,gap_proficiencia,label_alfabetizado,ctx_atlas_idhm,ctx_atlas_idhm_educacao,ctx_atlas_idhm_renda,ctx_atlas_idhm_longevidade,ctx_atlas_taxa_analfabetismo_15mais,ctx_atlas_taxa_frequencia_6a14,ctx_atlas_expectativa_anos_estudo,ctx_atlas_taxa_fundamental_incompleto,ctx_atlas_renda_per_capita,ctx_atlas_indice_gini,ctx_atlas_percentual_pobres,ctx_atlas_percentual_extremamente_pobres,ctx_atlas_percentual_vulneraveis_pobreza,ctx_atlas_percentual_domicilios_agua,ctx_atlas_percentual_domicilios_energia,ctx_atlas_taxa_densidade_domiciliar,ctx_nse_municipio,ctx_ponderador_nse_municipio,ctx_nse_municipio_proxy_2023,ctx_nse_uf,ctx_ponderador_nse_uf,ctx_nse_uf_proxy_2023
90,2025,2102408,21,Estadual,B,86.78,607.45,78.02,5.89,True,87.04,Muito acima,Média,677.8,-10.74,1,0.553,0.505,0.466,0.72,25.58,97.22,9.02,38.66,145.01,0.57,64.11,45.03,85.6,67.92,93.47,50.09,57.98,1.02,False,49.45,0.98,False
91,2024,5107040,51,Privada,B,75.04,878.24,66.49,2.45,True,83.85,Muito acima,Média,854.1,-54.43,1,0.752,0.653,0.774,0.843,4.72,94.74,9.35,22.76,990.05,0.51,2.57,1.11,10.91,98.72,99.89,24.38,61.97,1.03,False,53.91,0.97,False
92,2025,2919702,29,Municipal,B,46.71,734.46,72.42,5.02,True,89.76,Próximo,Média,910.92,51.87,0,0.605,0.466,0.607,0.782,27.5,96.67,7.56,45.54,350.25,0.46,23.98,5.68,55.19,88.93,95.04,26.75,62.87,0.98,False,58.75,0.95,False
93,2025,3555208,35,Privada,B,72.35,692.26,69.53,5.87,True,86.63,Acima,Baixa,611.03,10.8,0,0.751,0.721,0.713,0.824,11.41,100.0,10.3,22.72,676.92,0.35,2.85,1.54,12.47,99.29,100.0,11.76,54.58,0.96,False,42.41,1.01,False
94,2024,1200385,12,Municipal,B,77.74,779.54,62.34,-5.76,False,79.62,Muito abaixo,Alta,831.44,-95.77,0,0.622,0.517,0.593,0.786,18.45,93.6,8.72,40.42,321.16,0.55,36.79,18.76,62.29,91.46,98.57,43.73,31.06,0.95,False,46.32,1.01,False
95,2025,3128709,31,Estadual,A,40.68,602.19,60.9,8.48,False,80.37,Acima,Baixa,805.09,-36.73,1,0.751,0.659,0.729,0.88,5.98,96.74,9.17,24.3,746.7,0.49,4.21,0.51,20.43,99.35,99.98,20.49,48.06,0.95,False,35.85,0.99,False
96,2023,5213509,52,Estadual,A,64.99,683.41,70.39,-1.24,False,81.36,Próximo,Baixa,735.39,-64.6,1,0.615,0.481,0.592,0.816,25.0,95.7,8.04,42.75,317.66,0.61,39.81,24.06,65.05,78.03,81.52,30.45,36.56,1.01,True,42.54,0.97,True
97,2023,5106158,51,Privada,A,85.4,810.91,60.57,2.78,True,72.84,Próximo,Alta,584.84,31.17,1,0.65,0.469,0.696,0.842,7.86,93.83,8.23,45.82,608.32,0.62,24.46,15.75,42.82,97.13,84.23,28.18,31.36,1.01,True,53.91,0.97,True
98,2025,2917102,29,Estadual,A,56.24,790.13,64.96,-9.95,True,74.98,Próximo,Alta,857.85,-44.99,0,0.594,0.474,0.598,0.739,24.37,98.64,7.96,45.12,330.0,0.44,22.06,8.6,55.42,90.3,96.03,25.84,56.76,1.01,False,58.75,0.95,False
99,2024,3139250,31,Municipal,B,65.22,894.54,81.76,9.87,True,91.69,Muito abaixo,Alta,932.28,-87.01,1,0.618,0.537,0.565,0.779,28.53,98.46,10.49,41.69,269.87,0.45,32.8,22.5,56.91,86.86,99.76,6.7,30.74,0.98,False,43.24,1.04,False
100,2023,2603009,26,Municipal,A,64.33,786.11,81.24,-4.38,False,81.67,Muito acima,Alta,824.83,-89.01,0,0.623,0.539,0.581,0.773,23.71,97.59,9.38,37.25,298.14,0.58,43.43,22.12,69.41,79.12,98.03,37.73,62.84,1.0,True,53.01,1.0,True
101,2025,5106265,51,Estadual,A,56.61,743.25,82.16,-8.76,True,76.44,Próximo,Média,913.04,16.35,0,0.674,0.577,0.652,0.815,11.21,99.2,9.85,34.37,461.47,0.52,20.83,7.22,44.64,95.58,96.97,24.91,40.25,1.03,False,52.43,1.03,False
102,2023,1714302,17,Privada,B,90.51,828.43,69.51,-0.83,True,86.88,Muito abaixo,Alta,942.88,-95.66,1,0.643,0.576,0.584,0.792,20.92,98.64,10.39,30.37,302.39,0.52,32.26,17.81,62.75,92.64,98.63,24.02,51.38,0.97,True,58.3,0.95,True
103,2025,4213708,42,Municipal,B,82.97,871.0,86.7,-7.42,False,92.67,Muito abaixo,Alta,658.42,69.76,0,0.72,0.598,0.728,0.857,5.85,98.62,9.47,32.67,742.15,0.43,3.69,0.46,16.21,86.0,99.92,12.32,43.24,1.02,False,43.71,1.01,False
104,2023,4211058,42,Privada,B,46.08,816.21,77.81,-6.95,False,77.72,Próximo,Média,787.2,-68.92,0,0.643,0.511,0.648,0.804,12.5,98.66,9.64,43.39,449.82,0.45,12.36,1.83,43.36,96.42,98.79,26.61,58.06,1.05,True,37.29,1.05,True
105,2025,3526100,35,Estadual,A,94.84,888.96,63.78,2.65,False,94.8,Próximo,Baixa,713.27,21.31,0,0.7,0.637,0.654,0.823,11.06,97.64,10.64,30.77,467.35,0.49,18.23,6.77,41.46,85.22,98.95,31.29,30.93,1.05,False,42.41,1.01,False
106,2025,3103306,31,Municipal,A,88.36,834.6,64.31,-2.14,True,97.83,Muito abaixo,Alta,943.98,-11.06,0,0.661,0.577,0.608,0.823,12.6,97.17,8.55,41.31,351.6,0.42,23.13,7.22,51.08,91.86,99.63,11.55,54.98,0.97,False,35.85,0.99,False
107,2025,3200201,32,Municipal,B,55.61,860.04,80.79,8.44,True,87.92,Próximo,Baixa,542.21,-11.43,0,0.721,0.63,0.708,0.839,13.54,97.65,9.75,31.25,655.72,0.52,13.08,3.36,31.29,93.05,99.85,16.17,55.58,0.98,False,49.75,0.97,False
108,2024,1503077,15,Estadual,A,86.03,634.23,65.19,-3.62,True,90.07,Muito abaixo,Média,685.57,-85.64,1,0.526,0.353,0.54,0.763,30.5,94.17,7.0,56.63,229.91,0.55,49.27,24.06,75.18,80.5,79.33,52.33,57.91,0.98,False,35.39,1.05,False
109,2024,4312906,43,Municipal,A,45.85,819.72,75.22,4.52,True,71.58,Muito acima,Baixa,893.99,60.55,1,0.747,0.632,0.778,0.849,3.29,98.58,10.45,23.05,1010.72,0.37,1.03,0.28,4.09,97.59,100.0,5.32,60.2,1.03,False,58.76,0.99,False
110,2025,3200607,32,Municipal,A,94.95,732.03,89.75,-0.78,False,98.37,Acima,Alta,627.82,78.61,0,0.752,0.707,0.717,0.838,7.42,98.39,10.26,18.99,695.25,0.5,9.67,3.13,26.82,96.81,99.83,25.56,40.69,0.96,False,49.75,0.97,False
111,2023,4219408,42,Estadual,B,76.61,765.93,60.12,3.2,True,81.77,Muito acima,Média,854.51,-97.8,0,0.71,0.557,0.739,0.87,4.85,98.09,7.35,35.87,796.45,0.43,6.07,2.42,13.23,89.08,100.0,11.27,60.89,0.97,True,37.29,1.05,True
112,2025,3119302,31,Privada,B,75.76,796.23,60.5,1.99,True,97.72,Muito acima,Baixa,672.25,-64.28,0,0.708,0.565,0.73,0.86,8.06,96.4,8.06,36.85,753.35,0.51,3.75,0.93,21.01,89.24,98.56,10.2,36.05,0.96,False,35.85,0.99,False
113,2024,3533601,35,Municipal,B,44.97,890.94,89.79,-0.54,False,87.37,Acima,Alta,940.99,80.78,0,0.746,0.656,0.73,0.866,5.41,97.89,10.15,25.67,751.92,0.45,3.84,0.44,15.92,97.79,99.94,17.84,51.33,0.96,False,57.99,1.01,False
114,2024,2206803,22,Municipal,B,89.34,895.37,77.54,9.0,True,70.14,Muito acima,Baixa,897.59,9.9,1,0.533,0.411,0.503,0.732,36.04,96.58,7.45,51.57,183.4,0.48,54.02,28.3,76.83,70.11,88.34,54.13,53.14,1.01,False,52.04,1.02,False
115,2024,3142304,31,Municipal,B,41.59,686.47,63.81,-3.15,True,71.16,Acima,Média,635.59,-69.99,0,0.638,0.494,0.657,0.8,8.18,99.17,8.07,45.17,477.77,0.43,11.01,1.2,35.79,60.18,100.0,14.86,58.84,1.03,False,43.24,1.04,False
116,2024,3145505,31,Estadual,A,53.25,820.13,86.92,-6.46,True,90.41,Acima,Média,846.59,-59.44,0,0.674,0.577,0.656,0.809,14.29,98.47,10.72,37.81,475.23,0.41,9.9,0.58,36.62,98.5,99.85,16.62,41.45,1.02,False,43.24,1.04,False
117,2023,2609204,26,Privada,B,47.87,825.0,86.41,3.56,True,86.88,Próximo,Média,651.59,32.0,0,0.534,0.403,0.541,0.698,35.09,94.07,8.72,54.05,232.31,0.54,49.51,22.18,77.77,73.85,98.21,44.77,60.35,1.04,True,53.01,1.0,True
118,2023,4321634,43,Privada,A,82.72,703.95,76.09,6.92,True,70.8,Muito abaixo,Média,772.86,44.96,0,0.791,0.689,0.843,0.851,4.16,100.0,10.34,28.07,1518.78,0.62,1.43,0.0,7.02,85.74,100.0,0.65,35.65,0.95,True,58.76,0.99,True
119,2023,3138807,31,Privada,A,50.9,637.16,78.65,-9.19,False,92.3,Muito abaixo,Alta,796.32,19.89,0,0.724,0.63,0.723,0.833,8.07,99.0,9.4,29.32,720.88,0.5,5.62,1.16,20.97,95.69,99.93,11.56,52.78,0.97,True,43.24,1.04,True
120,2023,3551504,35,Privada,B,90.09,612.28,68.2,-1.01,False,95.56,Acima,Baixa,873.32,90.63,0,0.729,0.65,0.713,0.835,6.41,97.53,10.11,22.39,677.75,0.37,2.94,0.52,14.18,99.74,99.87,29.3,49.73,1.04,True,57.99,1.01,True
121,2024,2310704,23,Municipal,A,76.09,833.2,61.52,7.85,True,84.89,Acima,Média,511.0,-1.19,1,0.629,0.604,0.562,0.734,24.8,97.35,9.85,30.97,264.95,0.56,44.8,25.4,71.69,80.2,98.22,37.69,43.28,0.98,False,48.79,1.03,False
122,2025,2103125,21,Municipal,A,41.99,746.91,77.84,4.99,True,83.97,Muito abaixo,Baixa,599.07,-39.95,1,0.585,0.557,0.503,0.713,26.73,97.79,9.52,35.4,182.77,0.54,56.09,34.56,79.7,78.93,96.22,42.38,42.92,1.03,False,49.45,0.98,False
123,2024,4212106,42,Estadual,A,40.3,895.66,68.84,9.84,True,70.16,Muito acima,Média,820.36,-4.55,1,0.737,0.632,0.757,0.836,6.89,98.97,11.39,31.63,887.5,0.46,4.37,1.59,14.71,94.99,99.63,11.0,33.54,0.99,False,37.29,1.05,False
124,2024,2210508,22,Privada,B,42.84,739.49,79.91,0.63,False,93.6,Próximo,Média,753.59,-28.07,0,0.595,0.492,0.553,0.776,29.58,98.4,9.44,43.91,249.23,0.56,46.17,30.59,69.38,78.05,97.3,33.14,34.68,1.02,False,52.04,1.02,False
125,2025,4211876,42,Privada,A,73.33,893.38,85.09,3.2,False,79.92,Acima,Média,723.02,-55.12,1,0.718,0.62,0.705,0.847,9.23,100.0,9.56,32.38,644.16,0.44,8.48,1.41,22.43,94.34,99.44,18.07,45.86,1.05,False,43.71,1.01,False
126,2024,1503457,15,Municipal,A,84.08,723.47,60.54,-3.95,False,96.36,Muito acima,Baixa,524.84,-90.81,1,0.489,0.304,0.508,0.757,22.82,74.8,6.21,62.21,188.48,0.57,52.27,30.85,79.43,76.56,77.37,57.74,43.01,1.0,False,35.39,1.05,False
127,2023,5004007,50,Municipal,B,53.12,838.1,77.87,8.95,True,81.19,Próximo,Baixa,656.72,-29.56,0,0.721,0.648,0.705,0.822,11.16,99.77,10.66,28.12,644.1,0.46,6.95,1.72,23.96,95.24,99.85,13.77,37.53,0.97,True,48.77,0.96,True
128,2025,2601904,26,Municipal,A,86.72,625.45,66.94,-2.67,True,86.95,Acima,Baixa,889.3,42.28,0,0.606,0.487,0.608,0.752,28.12,95.89,8.86,47.66,351.75,0.52,30.07,14.75,56.75,83.81,99.28,23.87,32.87,1.01,False,36.9,0.97,False
129,2024,2210201,22,Municipal,B,43.15,766.64,86.22,4.77,True,78.11,Muito acima,Média,513.9,-96.31,1,0.552,0.423,0.569,0.7,37.91,97.52,9.12,55.67,275.18,0.43,32.84,13.45,58.94,90.21,91.82,28.51,32.85,1.03,False,52.04,1.02,False
130,2024,3146750,31,Estadual,B,84.05,840.62,67.61,-1.94,True,74.82,Próximo,Baixa,678.4,-12.16,0,0.565,0.437,0.559,0.738,29.58,96.34,7.97,53.59,259.75,0.45,35.57,15.3,64.73,86.03,93.19,18.42,50.27,0.98,False,43.24,1.04,False
131,2024,2106607,21,Estadual,B,91.03,877.41,78.32,1.24,True,93.25,Muito acima,Média,925.32,28.8,0,0.55,0.434,0.519,0.739,35.77,97.48,8.9,55.43,202.66,0.56,54.04,34.73,74.25,81.57,95.55,43.14,32.71,1.03,False,38.88,1.0,False
132,2024,5002407,50,Estadual,A,82.47,846.77,76.61,4.4,False,84.9,Próximo,Média,522.9,22.08,1,0.692,0.592,0.676,0.828,12.2,91.47,9.1,34.7,537.01,0.5,18.24,10.46,34.45,94.54,95.09,30.37,34.59,0.96,False,48.77,0.96,False
133,2023,4120309,41,Municipal,A,78.4,611.09,71.88,0.18,True,86.09,Muito acima,Baixa,837.37,55.33,1,0.685,0.6,0.674,0.796,6.04,98.06,10.7,32.05,531.11,0.44,11.48,1.49,33.92,89.22,97.69,18.85,34.57,0.96,True,55.88,0.98,True
134,2024,2800670,28,Privada,A,86.09,711.81,80.33,8.14,False,98.96,Acima,Alta,615.93,62.1,1,0.604,0.492,0.581,0.771,24.19,97.62,8.74,42.57,296.54,0.5,39.2,17.23,61.63,86.91,99.65,28.6,61.72,0.98,False,36.63,1.02,False
135,2025,2702702,27,Estadual,B,42.21,614.61,81.77,-1.61,False,98.91,Muito abaixo,Baixa,889.97,42.34,1,0.565,0.462,0.55,0.708,33.5,96.52,9.08,49.39,245.49,0.49,41.07,17.64,70.92,32.7,96.14,33.33,35.81,1.01,False,59.24,0.97,False
136,2023,3304607,33,Privada,A,51.1,632.78,77.01,2.94,False,95.67,Muito acima,Alta,835.73,-79.44,1,0.668,0.556,0.672,0.797,12.79,98.35,8.59,37.57,522.66,0.48,16.13,3.38,37.97,69.06,99.49,23.03,51.7,0.97,True,53.27,0.96,True
137,2024,4301750,43,Privada,A,46.87,802.59,82.75,-3.15,True,75.63,Muito abaixo,Média,898.57,-5.0,1,0.61,0.428,0.645,0.821,9.75,97.97,9.68,59.32,441.81,0.53,24.69,12.38,46.6,70.01,99.37,16.7,45.22,1.04,False,58.76,0.99,False
138,2023,2313203,23,Municipal,A,67.75,813.98,89.5,-1.84,False,87.83,Próximo,Média,597.17,20.68,0,0.58,0.476,0.526,0.779,32.97,97.15,9.61,44.42,211.64,0.52,49.31,31.03,72.76,81.34,99.02,35.42,43.14,1.02,True,48.79,1.03,True
139,2024,5107156,51,Municipal,B,80.99,832.12,72.58,-1.2,True,96.34,Muito abaixo,Média,739.08,-50.89,1,0.676,0.603,0.642,0.799,17.89,99.13,8.47,25.65,434.88,0.4,16.24,5.86,34.9,88.75,96.59,17.12,33.39,1.02,False,53.91,0.97,False
140,2024,2706802,27,Privada,A,74.65,859.64,75.44,-7.48,True,81.23,Muito acima,Média,850.67,-91.49,1,0.572,0.479,0.538,0.727,31.77,96.79,9.2,45.08,227.65,0.52,49.21,23.35,75.54,84.15,97.95,39.32,57.18,1.03,False,52.57,1.01,False
141,2025,3504206,35,Estadual,B,86.81,821.83,60.37,-8.17,True,73.03,Próximo,Média,610.56,-55.28,1,0.773,0.738,0.746,0.84,7.43,98.78,10.26,19.49,829.68,0.47,1.41,0.27,12.08,98.67,100.0,12.05,33.75,1.03,False,42.41,1.01,False
142,2023,3204500,32,Municipal,A,48.54,840.26,83.88,3.35,True,94.33,Muito abaixo,Média,603.84,-9.02,1,0.626,0.477,0.646,0.797,13.26,93.64,9.15,49.85,445.57,0.55,26.35,10.36,51.7,85.34,99.87,19.49,32.25,1.0,True,49.38,1.03,True
143,2023,3133808,31,Estadual,A,80.4,614.69,75.61,3.11,False,84.45,Muito abaixo,Média,512.23,-17.21,0,0.758,0.685,0.749,0.85,4.17,98.17,9.56,21.13,847.74,0.48,2.75,0.58,14.65,99.31,99.98,11.46,56.51,0.97,True,43.24,1.04,True
144,2024,3142205,31,Estadual,A,50.62,670.36,72.24,3.26,False,86.93,Muito acima,Média,931.33,-64.67,0,0.68,0.567,0.663,0.837,11.33,98.21,8.59,36.47,493.91,0.45,9.96,1.93,36.84,96.54,99.96,22.66,39.32,1.0,False,43.24,1.04,False
145,2025,2611804,26,Privada,B,54.89,786.57,62.82,-9.6,False,99.46,Muito abaixo,Baixa,819.51,64.88,0,0.602,0.516,0.595,0.711,23.29,92.86,8.72,37.75,324.47,0.5,31.16,9.98,61.94,88.59,99.62,36.62,31.55,0.98,False,36.9,0.97,False
146,2025,3169703,31,Municipal,A,79.04,857.44,86.69,-3.47,True,88.22,Muito acima,Média,786.0,85.14,0,0.682,0.602,0.646,0.816,14.79,99.24,9.89,31.43,446.26,0.5,19.79,7.76,45.82,80.9,99.44,18.34,36.74,1.0,False,35.85,0.99,False
147,2023,3139102,31,Privada,A,93.91,601.35,71.85,-6.04,True,82.75,Próximo,Média,834.8,-59.73,0,0.699,0.598,0.667,0.856,6.83,98.29,7.77,28.43,508.21,0.51,16.79,3.39,41.44,89.83,99.62,14.98,57.98,1.01,True,43.24,1.04,True
148,2023,4313441,43,Privada,B,73.63,754.39,80.48,5.56,False,81.1,Acima,Baixa,739.23,85.91,1,0.676,0.566,0.679,0.805,15.28,98.72,10.83,41.03,548.05,0.4,11.18,4.64,29.08,99.58,99.44,7.2,55.23,1.05,True,58.76,0.99,True
149,2025,5005251,50,Municipal,B,43.0,803.19,64.48,7.21,True,82.53,Próximo,Baixa,714.26,-96.43,1,0.672,0.545,0.676,0.822,12.24,95.0,9.24,40.79,536.02,0.53,21.84,9.45,38.64,96.64,93.53,28.31,48.34,1.02,False,41.13,1.05,False
150,2023,3532207,35,Municipal,B,73.9,608.88,88.85,-5.07,False,73.55,Próximo,Alta,702.29,84.99,0,0.718,0.67,0.659,0.839,11.17,98.99,10.42,22.28,482.74,0.36,5.34,1.38,26.05,89.82,99.94,19.0,57.2,0.99,True,57.99,1.01,True
151,2025,2509602,25,Estadual,B,42.33,720.41,65.35,3.36,False,93.84,Muito acima,Baixa,788.2,90.39,0,0.587,0.463,0.579,0.755,29.46,98.46,8.01,51.9,292.96,0.54,40.78,23.02,59.88,66.18,99.09,36.62,39.0,0.99,False,35.88,1.01,False
152,2023,2912905,29,Municipal,A,88.63,868.69,65.99,-7.41,False,95.13,Próximo,Alta,590.69,-97.59,1,0.576,0.424,0.571,0.789,28.88,97.59,8.06,47.11,278.69,0.49,36.2,15.5,65.46,90.79,94.27,28.91,48.18,1.05,True,51.74,0.97,True
153,2025,5212253,52,Municipal,B,79.03,801.48,85.77,-4.5,False,78.53,Muito abaixo,Alta,899.63,52.6,1,0.74,0.638,0.733,0.868,6.69,98.52,9.45,33.39,765.86,0.52,3.81,0.27,26.3,97.22,97.53,20.46,42.38,1.05,False,39.66,0.96,False
154,2023,2701407,27,Estadual,A,49.52,671.3,87.38,-7.23,True,79.11,Acima,Baixa,865.29,94.04,1,0.57,0.47,0.531,0.742,27.41,91.09,7.74,40.73,217.72,0.47,43.67,18.66,76.23,66.83,99.66,52.14,56.58,1.03,True,52.57,1.01,True
155,2024,2605905,26,Privada,B,45.04,855.83,66.36,-4.33,True,96.23,Acima,Alta,657.3,81.18,0,0.602,0.532,0.541,0.759,26.69,96.96,9.24,37.47,231.5,0.46,41.67,14.12,74.09,70.38,99.44,44.04,55.25,0.99,False,53.01,1.0,False
156,2024,2918001,29,Privada,B,50.09,704.41,74.09,3.49,True,70.72,Muito abaixo,Baixa,760.37,94.14,0,0.665,0.568,0.656,0.79,15.88,97.36,8.91,29.59,473.92,0.55,22.48,7.88,50.24,92.66,98.44,26.95,43.24,0.99,False,51.74,0.97,False
157,2023,3503208,35,Municipal,B,93.9,856.0,82.0,8.21,True,85.61,Muito acima,Baixa,563.46,10.06,1,0.815,0.782,0.788,0.877,3.61,98.71,10.85,12.28,1080.66,0.5,2.64,0.53,11.03,99.49,99.92,16.67,31.17,1.03,True,57.99,1.01,True
158,2024,2933257,29,Privada,B,65.22,689.68,86.35,-5.95,True,83.91,Acima,Baixa,937.56,-84.37,0,0.577,0.436,0.568,0.777,30.7,98.12,7.0,54.84,274.76,0.47,34.32,14.07,64.97,89.31,93.24,25.21,48.98,0.99,False,51.74,0.97,False
159,2024,5217609,52,Municipal,B,83.12,777.1,71.37,0.84,False,90.7,Próximo,Baixa,906.3,69.96,0,0.669,0.566,0.653,0.81,10.08,96.43,9.25,28.42,466.69,0.43,12.31,3.99,36.45,94.77,99.14,31.51,49.18,1.02,False,42.54,0.97,False
160,2025,5216403,52,Privada,B,75.0,719.08,75.51,4.03,True,74.9,Acima,Baixa,914.85,22.77,0,0.672,0.547,0.687,0.807,11.73,98.8,8.56,39.77,575.52,0.46,7.18,3.12,30.22,97.47,99.81,15.39,34.87,0.98,False,39.66,0.96,False
161,2025,2504900,25,Privada,B,71.48,682.45,82.25,9.06,False,90.05,Muito abaixo,Alta,649.47,22.95,0,0.552,0.408,0.531,0.778,33.05,96.14,8.03,51.82,217.47,0.43,41.99,15.63,72.41,73.17,98.16,38.61,31.83,0.97,False,35.88,1.01,False
162,2024,4108304,41,Privada,A,47.98,865.97,81.93,2.2,False,81.3,Acima,Baixa,576.11,-16.55,0,0.751,0.661,0.748,0.858,5.64,96.36,10.09,22.25,842.26,0.53,7.37,1.75,22.71,99.19,99.83,20.85,34.82,1.03,False,55.88,0.98,False
163,2024,3137809,31,Municipal,A,92.03,656.28,83.49,-4.9,False,88.56,Muito abaixo,Alta,595.3,14.37,1,0.711,0.596,0.693,0.871,7.52,97.59,9.87,32.61,597.16,0.48,10.21,2.21,30.68,88.66,99.84,18.65,64.75,0.96,False,43.24,1.04,False
164,2024,4322202,43,Privada,A,56.57,625.44,77.1,2.51,True,71.2,Muito acima,Alta,540.5,-69.28,0,0.709,0.596,0.721,0.828,5.5,97.89,10.24,30.07,708.79,0.57,12.37,4.03,32.56,92.59,99.14,16.18,54.94,1.03,False,58.76,0.99,False
165,2024,2503209,25,Municipal,B,71.79,702.58,63.14,-3.59,False,83.85,Próximo,Alta,554.05,47.95,1,0.748,0.651,0.782,0.822,10.67,97.27,9.85,23.97,1036.21,0.7,15.61,5.27,39.32,97.74,99.71,28.1,62.22,0.96,False,46.72,0.99,False
166,2025,2202117,22,Estadual,A,78.49,815.29,87.12,9.52,True,85.67,Próximo,Média,532.09,-85.0,1,0.537,0.385,0.528,0.762,32.83,97.47,8.49,55.52,213.61,0.65,60.3,44.8,79.3,34.66,66.34,42.57,38.95,0.99,False,43.08,1.01,False
167,2023,5219753,52,Estadual,A,75.71,842.23,85.97,-2.01,True,76.43,Muito acima,Baixa,945.42,45.96,0,0.665,0.556,0.647,0.818,9.05,96.86,8.83,30.13,449.39,0.45,14.8,5.19,39.29,86.41,99.69,33.81,34.09,0.97,True,42.54,0.97,True
168,2023,4306809,43,Municipal,A,91.73,899.62,83.94,3.71,True,74.19,Muito acima,Alta,533.33,69.8,0,0.767,0.687,0.764,0.858,3.25,99.5,9.57,22.61,931.47,0.42,2.21,0.49,8.63,94.19,100.0,6.55,50.12,0.99,True,58.76,0.99,True
169,2024,4206652,42,Municipal,B,48.16,688.91,63.0,-9.54,True,75.65,Próximo,Baixa,559.64,-5.51,1,0.717,0.626,0.716,0.823,10.21,98.84,10.05,29.84,687.32,0.45,5.68,1.75,19.69,86.71,99.65,17.86,56.26,0.97,False,37.29,1.05,False
170,2023,3543105,35,Privada,B,67.96,722.38,66.13,-2.0,True,80.32,Próximo,Média,872.26,1.97,1,0.711,0.642,0.688,0.814,9.51,100.0,10.84,27.3,579.04,0.42,5.71,1.18,22.54,98.0,99.46,25.27,62.0,0.97,True,57.99,1.01,True
171,2023,5203575,52,Estadual,B,62.22,641.05,82.31,7.5,True,72.9,Próximo,Média,761.11,-37.56,0,0.63,0.488,0.63,0.813,18.81,98.15,8.54,45.21,403.94,0.41,14.81,5.08,45.19,96.77,93.85,17.51,56.92,0.96,True,42.54,0.97,True
172,2023,4308706,43,Estadual,A,66.08,772.46,60.69,2.2,False,98.42,Muito acima,Baixa,848.49,93.89,0,0.738,0.643,0.733,0.852,4.05,99.18,11.08,30.08,765.58,0.43,5.74,0.8,15.67,81.21,99.95,5.8,46.57,0.95,True,58.76,0.99,True
173,2025,2112902,21,Estadual,A,46.56,899.27,89.38,-1.12,True,82.15,Próximo,Média,783.91,46.62,1,0.596,0.534,0.54,0.733,25.05,98.26,10.22,37.88,230.76,0.56,48.81,29.47,71.48,86.51,97.12,44.83,54.93,1.0,False,49.45,0.98,False
174,2025,2914505,29,Estadual,A,47.38,810.26,71.31,8.72,True,94.27,Muito abaixo,Média,896.98,-26.2,0,0.62,0.501,0.587,0.809,23.27,98.7,8.23,37.62,308.34,0.5,33.95,12.96,59.51,58.36,98.89,30.72,34.61,1.05,False,58.75,0.95,False
175,2025,3515657,35,Privada,A,55.29,778.56,81.58,7.08,False,99.23,Muito acima,Baixa,787.31,-65.04,0,0.703,0.617,0.668,0.843,8.55,98.93,11.92,29.71,510.09,0.4,5.17,1.21,30.98,94.16,99.74,16.4,54.35,0.96,False,42.41,1.01,False
176,2024,3542602,35,Municipal,A,56.76,717.71,86.63,-3.56,False,72.42,Acima,Média,734.96,-56.08,0,0.754,0.702,0.718,0.851,5.58,97.31,10.56,18.01,699.41,0.52,10.24,1.74,29.5,98.39,99.9,32.34,61.1,1.04,False,57.99,1.01,False
177,2025,2603009,26,Privada,B,63.53,874.59,71.84,0.89,False,89.55,Acima,Média,820.74,-7.22,0,0.623,0.539,0.581,0.773,23.71,97.59,9.38,37.25,298.14,0.58,43.43,22.12,69.41,79.12,98.03,37.73,45.91,1.04,False,36.9,0.97,False
178,2023,3503356,35,Privada,B,73.6,749.07,69.57,-0.2,True,96.14,Muito abaixo,Alta,701.33,88.51,1,0.722,0.694,0.671,0.809,15.3,99.27,10.37,28.23,520.01,0.4,9.52,2.07,24.8,95.02,99.78,9.4,38.63,0.99,True,57.99,1.01,True
179,2025,3544301,35,Estadual,B,74.9,640.31,78.26,2.64,False,89.03,Acima,Alta,655.73,46.83,0,0.737,0.704,0.691,0.823,5.32,98.69,10.99,17.22,588.39,0.43,7.36,0.38,26.56,98.63,99.81,30.5,62.83,0.95,False,42.41,1.01,False
180,2024,5104906,51,Municipal,A,62.65,709.61,77.43,-3.32,False,82.87,Acima,Alta,710.44,-56.95,0,0.63,0.549,0.567,0.805,20.35,96.14,9.11,33.18,271.99,0.56,40.41,25.4,63.34,59.35,98.45,43.41,31.16,1.0,False,53.91,0.97,False
181,2025,2902252,29,Municipal,A,62.48,620.15,72.27,-5.12,True,82.93,Próximo,Alta,576.37,71.91,1,0.559,0.413,0.557,0.758,31.58,95.57,7.71,55.28,256.14,0.47,38.64,12.78,70.48,79.53,91.89,39.81,32.35,1.01,False,58.75,0.95,False
182,2023,4302659,43,Privada,B,51.97,660.59,78.05,8.25,True,71.08,Muito acima,Alta,858.46,-24.36,0,0.699,0.554,0.723,0.851,3.33,98.09,10.54,43.96,720.21,0.36,1.28,0.0,10.46,99.1,99.61,8.45,60.12,1.0,True,58.76,0.99,True
